# species afqmc afqmc_err ccsdpt uccsdpt hf uhf
C -37.78089  0.00003     -37.780658734389334    -37.780762245241924   -37.6867080513833   -37.6915691727568
C2H -76.4684  0.0003     -76.46825062389149     -76.46733829765101    -76.1617633946099   -76.1775074240935
C2H2 -77.18839 0.0002    -77.1875814557381      -77.18758146106404    -76.8492882831125   -76.8492882831134
CF -137.6045  0.0002     -137.6045172616437     -137.60451772273737   -137.219633389185   -137.22496587291
CH -38.41049  0.00007    -38.41032971000076     -38.410016599283495   -38.2769581607181   -38.2848753228977
CH2 -39.07810  0.00004   -39.07775938696053     -39.07783202275945    -38.9322194031012   -38.9377718967153
CH3 -39.76145  0.00006   -39.76092610907102     -39.76094825994611    -39.5730662470742   -39.5775723316477
CN -92.5682  0.0004      -92.56736794437765     -92.56561757725278    -92.2182933481806   -92.234957871867
CO -113.1562  0.0003     -113.15547773122677    -113.15547774197871   -112.780269935902   -112.780269935906
CO2 -188.3286  0.0004    -188.3270671242965     -188.32706711710077   -187.707228205626   -187.707228205628
F -99.62031  0.00004     -99.6203011766932      -99.6203607318234     -99.4009352722369   -99.4055248596835
F2 -199.2970  0.0004     -199.29609980178384    -199.29465626984597   -198.752151083578   -198.761707016517
H2 -1.172337  0.000      -1.1723362655142415    -1.1723363128239566   -1.13295069093069   -1.13295069093072
H2O -76.3327  0.0001     -76.33219014838014     -76.33219014873372    -76.0572165713917   -76.0572165713797
H2O2 -151.3600  0.0003   -151.35855997816688    -151.35855990902525   -150.836325236999   -150.836325236955
HCN -93.2759  0.0003     -93.27513010107079     -93.27513007682983    -92.9079812597487   -92.9079812597522
HCO -113.6845  0.0002    -113.68412841231358    -113.6840244691041    -113.28709783588    -113.292668372547
HF -100.3385  0.0001     -100.33835151099763    -100.33835151086768   -100.058092675594   -100.058092675595
HNO -130.2997  0.0003    -130.29839028250726    -130.2972248717743    -129.836766698748   -129.841210604448
HO2 -150.7134  0.0002    -150.71269084156813    -150.71266381819777   -150.230118110604   -150.236838602693
N -54.51480  0.00002     -54.51449369466204     -54.514707354232506   -54.397357845084    -54.4006862065117
N2 -109.3746  0.0003     -109.37385208528578    -109.3738520890324    -108.983393788461   -108.98339378846
NH -55.14086  0.00007    -55.1405579146815      -55.14067413706735    -54.9735943122304   -54.9812542329089
NH2 -55.79396  0.00007   -55.793558742309166    -55.79359474359998    -55.5811861796037   -55.5860557958056
NH3 -56.47352  0.00009   -56.47314815093766     -56.473148154214314   -56.2179438005467   -56.2179438005508
NO -129.7173  0.0003     -129.7169974207433     -129.71677467647535   -129.289455034391   -129.297050744282
O -74.97394   0.00003    -74.97382853697833     -74.97396182408858    -74.8056444225297   -74.8117566195861
O2 -150.1294  0.0003     -150.12883963325513    -150.12897925783238   -149.653134039176   -149.675465256315
OF -174.6712  0.0002     -174.67010664724762    -174.6700417924134    -174.186313984952   -174.192477209452
OH -75.63799  0.00006    -75.63766688305674     -75.63771486380867    -75.4145280735471   -75.4193214103294
