# species afqmc afqmc_err ccsdpt uccsdpt hf uhf
C -37.78664  0.00003     -37.78642706722086    -37.78653991227857   -37.6882984012963    -37.6933078196967
C2H -76.4879  0.0003     -76.48820493057893    -76.48730838101771   -76.1666309584479    -76.1823949804865
C2H2 -77.2101  0.0002    -77.209299701809      -77.20929971879667   -76.8542939811782    -76.8542939811783
CF -137.6446  0.0002     -137.6444739506244    -137.64447935376202  -137.230274240308    -137.235717450506
CH -38.41882  0.00009    -38.41875535234441    -38.41843595053105   -38.2792490529695    -38.2872721875444
CH2 -39.08770 0.00004    -39.08723899880692    -39.08732043247628   -38.9346786529705    -38.9402543650347
CH3 -39.77281  0.00007   -39.77241049346713    -39.77243488492389   -39.5758232137017    -39.5803668102229
CN -92.5928  0.0004      -92.59165091324333    -92.58991048331771   -92.2245828335834    -92.2413677195851
CO -113.1886  0.0003     -113.1878922651467    -113.18789226222091  -112.788763855984    -112.788763855983
CO2 -188.3857  0.0004    -188.3845395148417    -188.38453950204584  -187.721664646235    -187.721664646237
F -99.65029  0.00005     -99.6501894508993     -99.65025817381445   -99.4089518519386    -99.413770133727
F2 -199.3595  0.0002     -199.3589046226476    -199.35742500899718  -198.768381470005    -198.778007322886
H2 -1.173795  0.0000     -1.173796470167092    -1.1737964672007528  -1.13344828216518    -1.13344828216553
H2O -76.3601  0.0001     -76.35979241889028    -76.35979242142076   -76.0648843168629    -76.0648843168669
H2O2 -151.4092  0.0003   -151.4082104627297    -151.40821041472813  -150.848631998525    -150.848631998523
HCN -93.3022  0.0003     -93.30128400838909    -93.30128398291998   -92.9142874528367    -92.9142874528439
HCO -113.7188  0.0003    -113.7179345480678    -113.71783313814326  -113.295952292757    -113.301559521665
HF -100.3735  0.0001     -100.3731790220275    -100.37317902466916  -100.067770673235    -100.067770673231
HNO -130.3387  0.0003    -130.3381196169007    -130.336710841005    -129.846888323326    -129.852207909226
HO2 -150.7603  0.0002    -150.7599231659112    -150.7599004450691   -150.241932258645    -150.248898269107
N -54.52494  0.00002     -54.52459565082839    -54.52482381114433   -54.4001758986462    -54.4037179553891
N2 -109.4054  0.0003     -109.4043779220644    -109.40437792634421  -108.991003763595    -108.991003763595
NH -55.15480  0.00005    -55.15444948191255    -55.15457405566885   -54.9773386893885    -54.9851704889092
NH2 -55.81110  0.00008   -55.81076223684726    -55.81080183723822   -55.585744023333     -55.5907278188228
NH3 -56.4932  0.0001     -56.49304130865818    -56.49304131238011   -56.2231702826255    -56.2231702826325
NO -129.7549  0.0003     -129.7546167211897    -129.75439338976994  -129.29896032192     -129.306752086061
O -74.99357  0.00003     -74.9934193316817     -74.99356563041623   -74.8108435552045    -74.8172946936232
O2 -150.1737  0.0003     -150.1737297032983    -150.17388340810712  -149.664598546786    -149.687702594114
OF -174.7235  0.0002     -174.7234995469827    -174.72344281929907  -174.200106921051    -174.206447230817
OH -75.66161  0.00007    -75.6615772946616     -75.66163130453116   -75.4209630530321    -75.4259510850314
